Hour,Minute,Day_of_Week,User_ID
1,55,0,2
20,24,5,3
16,23,2,3
22,49,3,5
20,18,5,1
1,10,0,1
16,58,3,3
19,19,3,3
17,46,3,2
17,6,4,2
18,19,4,2
19,48,1,4
16,11,1,3
18,6,1,1
18,34,5,2
1,8,0,1
20,40,3,4
20,9,2,1
20,58,2,3
17,43,5,1
16,46,3,4
19,15,1,3
10,5,0,2
16,22,1,3
18,44,1,3
20,44,3,2
19,42,3,1
17,59,4,3
16,19,5,1
20,18,3,1
20,9,1,3
22,37,5,5
17,35,5,1
19,17,3,3
23,13,0,5
0,35,0,2
18,22,5,2
22,18,0,3
18,5,1,3
20,37,4,3
16,38,2,3
17,42,1,2
19,31,1,3
17,4,1,4
23,6,4,5
19,32,3,4
0,3,0,1
22,48,0,5
17,36,1,3
0,4,6,4
18,40,3,3
19,23,3,2
20,51,5,4
16,54,6,3
23,16,5,5
20,28,1,2
1,52,6,4
20,25,1,4
19,14,5,4
16,52,2,2
23,39,6,5
20,48,4,1
23,41,6,5
16,3,6,4
0,20,0,2
0,57,6,3
17,43,5,2
17,53,2,1
19,59,3,1
23,34,2,5
19,25,3,3
18,31,3,4
20,59,4,2
22,30,4,5
17,22,1,3
16,27,2,1
19,51,4,1
22,52,1,5
16,1,3,2
22,26,2,5
15,2,6,2
18,18,0,1
22,47,4,5
18,4,1,1
18,11,5,1
20,44,1,3
20,35,3,2
18,51,1,3
21,27,0,3
22,47,1,5
22,21,5,5
19,30,2,4
16,52,1,4
19,26,1,3
20,6,2,4
23,55,6,5
20,40,5,3
0,24,0,4
0,21,0,3
20,30,1,1
22,21,6,5
19,40,4,4
19,15,4,2
21,8,6,2
1,5,6,2
17,42,2,1
20,40,4,1
19,3,2,1
18,14,3,1
20,52,4,1
16,46,5,2
16,13,1,2
18,12,0,3
21,32,6,3
18,41,4,4
16,49,1,2
17,39,4,4
20,13,1,1
22,20,3,5
20,16,4,2
18,33,3,2
17,7,5,4
23,25,6,4
15,43,0,3
23,3,5,5
20,49,1,1
20,20,4,2
19,2,3,3
18,22,1,3
0,3,0,1
16,8,3,2
17,34,5,4
0,39,6,4
17,23,4,3
16,47,4,1
20,1,2,1
0,40,0,3
17,39,5,1
23,26,5,5
1,58,0,2
22,58,3,5
23,53,4,5
22,25,1,5
18,20,4,2
12,49,0,3
10,29,0,2
19,7,4,2
22,19,1,5
17,12,1,3
19,49,2,1
18,2,2,1
16,26,3,1
17,47,1,2
16,48,6,4
14,22,6,4
23,27,5,5
17,56,1,3
18,47,3,4
23,24,1,5
17,22,2,4
16,1,4,3
23,55,5,5
20,15,2,2
19,28,5,1
18,46,3,1
18,44,4,3
17,17,5,2
20,14,0,4
19,11,1,4
1,30,0,4
10,33,0,4
17,5,1,3
16,28,5,1
18,21,1,3
17,22,4,2
0,38,6,2
23,27,2,5
18,41,6,3
16,46,4,1
23,12,5,5
23,42,3,5
22,5,0,5
18,39,4,1
0,30,6,3
18,47,1,1
18,26,3,4
17,35,3,3
23,40,0,2
1,1,0,2
1,26,6,3
23,42,0,5
23,49,6,5
20,49,1,1
16,6,2,2
1,1,6,3
22,38,6,5
22,24,0,5
18,45,3,1
23,50,6,5
22,53,4,5
0,4,0,2
16,10,5,3
23,0,3,5
20,0,2,3
18,57,2,1
17,4,0,3
20,3,0,1
0,19,0,3
20,42,4,4
16,7,1,2
23,40,2,5
18,55,6,4
22,48,6,3
0,12,6,1
17,8,5,4
16,13,3,2
16,50,1,1
1,1,0,2
18,22,2,2
22,17,3,5
12,25,6,2
17,25,4,1
1,44,6,2
22,11,2,5
22,24,3,5
0,10,6,4
23,25,5,5
19,9,3,2
16,59,4,2
16,21,3,1
18,37,1,3
17,31,3,1
19,41,3,4
19,42,1,2
23,55,3,5
1,52,0,4
1,34,6,2
20,53,5,4
16,51,3,2
20,3,1,2
20,29,5,3
22,24,1,5
18,14,1,3
17,45,2,1
16,17,5,1
18,51,3,3
22,53,1,5
20,39,4,1
1,25,6,1
0,34,0,4
0,55,0,3
18,57,5,3
0,56,0,2
22,5,2,5
15,37,6,4
18,4,3,4
23,19,5,5
1,34,0,2
16,17,4,1
16,55,5,1
23,41,5,5
18,5,5,1
1,57,0,4
18,45,2,3
20,44,4,4
18,55,3,1
23,42,5,5
22,42,1,5
0,23,6,1
18,37,1,2
18,6,3,4
20,0,3,3
0,31,0,3
23,28,0,4
18,6,1,3
20,28,2,1
17,23,4,2
23,42,6,5
18,21,5,1
